Session, Time, Freq (MHz), KrakenSDR ID, Latitude, Longitude, Bearing, Direction
(0, '2024-10-13T18:56:13.954226', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 196.0)
(0, '2024-10-13T18:56:13.956496', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 196.0)
(0, '2024-10-13T18:56:14.382810', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:14.384760', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:14.824380', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 211.0)
(0, '2024-10-13T18:56:14.838903', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 211.0)
(0, '2024-10-13T18:56:15.253971', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 198.0)
(0, '2024-10-13T18:56:15.256432', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 198.0)
(0, '2024-10-13T18:56:15.701393', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:15.703302', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:16.126758', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 198.0)
(0, '2024-10-13T18:56:16.128587', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 198.0)
(0, '2024-10-13T18:56:16.570910', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:16.573119', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:17.003846', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 196.0)
(0, '2024-10-13T18:56:17.005555', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 196.0)
(0, '2024-10-13T18:56:17.448336', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 197.0)
(0, '2024-10-13T18:56:17.450389', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 197.0)
(0, '2024-10-13T18:56:17.872072', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:17.874493', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:18.316050', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 197.0)
(0, '2024-10-13T18:56:18.317871', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 197.0)
(0, '2024-10-13T18:56:18.749533', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 201.0)
(0, '2024-10-13T18:56:18.752588', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 201.0)
(0, '2024-10-13T18:56:19.192350', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:19.194512', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:19.625593', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 200.0)
(0, '2024-10-13T18:56:19.627437', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 200.0)
(0, '2024-10-13T18:56:20.073833', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 196.0)
(0, '2024-10-13T18:56:20.076436', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 196.0)
(0, '2024-10-13T18:56:20.509580', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 201.0)
(0, '2024-10-13T18:56:20.511300', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 201.0)
(0, '2024-10-13T18:56:20.943375', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 195.0)
(0, '2024-10-13T18:56:20.945149', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 195.0)
(0, '2024-10-13T18:56:21.379456', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:21.381222', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(0, '2024-10-13T18:56:21.813174', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 197.0)
(0, '2024-10-13T18:56:21.815083', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 197.0)
(0, '2024-10-13T18:56:22.245512', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 197.0)
(0, '2024-10-13T18:56:22.247356', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 197.0)
(0, '2024-10-13T18:56:22.701266', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 201.0)
(0, '2024-10-13T18:56:22.703159', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 201.0)
(0, '2024-10-13T18:56:23.128199', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 200.0)
(0, '2024-10-13T18:56:23.129934', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 200.0)
(0, '2024-10-13T18:56:23.571688', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 203.0)
(0, '2024-10-13T18:56:23.574818', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 203.0)
(0, '2024-10-13T18:56:24.006039', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 201.0)
(0, '2024-10-13T18:56:24.008056', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 201.0)
(0, '2024-10-13T18:56:24.439719', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 198.0)
(0, '2024-10-13T18:56:24.441263', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 198.0)
(0, '2024-10-13T18:56:24.876578', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 192.0)
(0, '2024-10-13T18:56:24.878557', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 192.0)
(0, '2024-10-13T18:56:25.302166', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 192.0)
(0, '2024-10-13T18:56:25.303958', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 192.0)
(0, '2024-10-13T18:56:25.741966', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 202.0)
(0, '2024-10-13T18:56:25.743766', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 202.0)
(0, '2024-10-13T18:56:26.176140', 100.0, 2, 47.131840148609655, 37.454905671766035, 140.0, 199.0)
(0, '2024-10-13T18:56:26.177992', 100.0, 1, 47.152155637669935, 37.51730917399983, 180.0, 199.0)
(1, '2024-10-13 15:56:26', None, None, None, None, None, None)
(1, '2024-10-13T18:56:26.609921', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 201.0)
(1, '2024-10-13T18:56:26.611729', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 201.0)
(1, '2024-10-13T18:56:27.056610', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 203.0)
(1, '2024-10-13T18:56:27.058523', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 203.0)
(1, '2024-10-13T18:56:28.045607', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 203.0)
(1, '2024-10-13T18:56:28.047284', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 203.0)
(1, '2024-10-13T18:56:29.125170', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 52.0)
(1, '2024-10-13T18:56:29.126954', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 52.0)
(1, '2024-10-13T18:56:30.227832', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 53.0)
(1, '2024-10-13T18:56:30.229748', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 53.0)
(1, '2024-10-13T18:56:33.196569', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
(1, '2024-10-13T18:56:33.198424', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 156.0)
(1, '2024-10-13T18:56:33.496759', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
(1, '2024-10-13T18:56:33.498383', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 156.0)
(1, '2024-10-13T18:56:33.941602', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:33.943369', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:34.374897', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 157.0)
(1, '2024-10-13T18:56:34.376880', 102.5, 1, 47.152155637669935, 37.51730917399983, 180.0, 157.0)
(1, '2024-10-13T18:56:34.807361', 102.5, 2, 47.131840148609655, 37.454905671766035, 140.0, 156.0)
